id	knockdown_method	target	cell	cell_type	db	platform	rep	sign	target_expr	pct_ko	n_row	pct_ko_threshold	components
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k1	-1	116.0	0.3798932840798321	row_1	Yes	total_enrichment
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k1	-1	116.0	0.3798932840798321	row_1	Yes	local_enrichment
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k1	-1	116.0	0.3798932840798321	row_1	Yes	delta
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k1	-1	116.0	0.3798932840798321	row_1	Yes	quant_nes
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k2	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k2	-1	125.73	0.3798932840798321	row_2	Yes	total_enrichment
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k2	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k2	-1	125.73	0.3798932840798321	row_2	Yes	local_enrichment
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k2	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k2	-1	125.73	0.3798932840798321	row_2	Yes	delta
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.k2	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	k2	-1	125.73	0.3798932840798321	row_2	Yes	quant_nes
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.c1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	c1	1	191.44		row_3	No	total_enrichment
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.c1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	c1	1	191.44		row_3	No	local_enrichment
CRISPRi.STAT5A.K562.Haematopoietic_Cell_line.ENCODE.ENCSR376CFR.c1	CRISPRi	STAT5A	K562	Haematopoietic_Cell_line	ENCODE	ENCSR376CFR	c1	1	191.44		row_3	No	delta
