"id"	"knockdown_method"	"target"	"cell"	"cell_type"	"platform"	"rep"	"sign"	"target_expr"	"pct_ko"	"pct_ko_threshold"
"GSM973301"	"siRNA"	"GATA3"	"MCF7"	"siGATA-1-E2-r1"	"GPL6947"	"k1"	-1	-1.1760151395491	1.95109702505055	"Yes"
"GSM973302"	"siRNA"	"GATA3"	"MCF7"	"siGATA-2-Veh-r1"	"GPL6947"	"k1"	-1	-0.00563262751642704	1.95109702505055	"Yes"
"GSM973303"	"Control"	"GATA3"	"MCF7"	"siNT-E2-r5"	"GPL6947"	"c5"	1	0.165658853506983	NA	"No"
"GSM973304"	"Control"	"GATA3"	"MCF7"	"siNT-Veh-r3"	"GPL6947"	"c3"	1	0.304585078007422	NA	"No"
"GSM973305"	"Control"	"GATA3"	"MCF7"	"siNT-E2-r2"	"GPL6947"	"c2"	1	0.632350355391977	NA	"No"
"GSM973306"	"siRNA"	"GATA3"	"MCF7"	"siGATA-0-Veh-r1"	"GPL6947"	"k1"	-1	0.0526725178441032	1.95109702505055	"Yes"
"GSM973307"	"siRNA"	"GATA3"	"MCF7"	"siGATA-1-Veh-r2"	"GPL6947"	"k2"	-1	-0.68933228032008	1.95109702505055	"Yes"
"GSM973308"	"Control"	"GATA3"	"MCF7"	"siNT-Veh-r5"	"GPL6947"	"c5"	1	0.692097930232908	NA	"No"
"GSM973309"	"siRNA"	"GATA3"	"MCF7"	"siGATA-0-E2-r2"	"GPL6947"	"k2"	-1	-0.66527589444039	1.95109702505055	"Yes"
"GSM973310"	"Control"	"GATA3"	"MCF7"	"siNT-Veh-r1"	"GPL6947"	"c1"	1	0.371997794632613	NA	"No"
"GSM973311"	"Control"	"NAN"	"MCF7"	"siNT-E2-r4"	"GPL6947"	"c4"	1	NA	NA	"No"
"GSM973312"	"siRNA"	"GATA3"	"MCF7"	"siGATA-2-Veh-r2"	"GPL6947"	"k2"	-1	-0.124209867528947	1.95109702505055	"Yes"
"GSM973313"	"Control"	"NAN"	"MCF7"	"siNT-E2-r1"	"GPL6947"	"c1"	1	NA	NA	"No"
"GSM973314"	"Control"	"NAN"	"MCF7"	"siNT-Veh-r2"	"GPL6947"	"c2"	1	NA	NA	"No"
"GSM973315"	"siRNA"	"GATA3"	"MCF7"	"siGATA-1-Veh-r1"	"GPL6947"	"k1"	-1	-0.718335841690387	1.95109702505055	"Yes"
"GSM973316"	"siRNA"	"GATA3"	"MCF7"	"siGATA-2-E2-r1"	"GPL6947"	"k1"	-1	-0.887350429897634	1.95109702505055	"Yes"
"GSM973317"	"siRNA"	"GATA3"	"MCF7"	"siGATA-0-Veh-r2"	"GPL6947"	"k2"	-1	-0.365143274374527	1.95109702505055	"Yes"
"GSM973318"	"Control"	"NAN"	"MCF7"	"siNT-E2-r3"	"GPL6947"	"c3"	1	NA	NA	"No"
"GSM973319"	"siRNA"	"GATA3"	"MCF7"	"siGATA-2-E2-r2"	"GPL6947"	"k2"	-1	-0.583593854773579	1.95109702505055	"Yes"
"GSM973320"	"siRNA"	"GATA3"	"MCF7"	"siGATA-1-E2-r2"	"GPL6947"	"k2"	-1	-1.33279887943496	1.95109702505055	"Yes"
"GSM973321"	"Control"	"NAN"	"MCF7"	"siNT-Veh-r4"	"GPL6947"	"c4"	1	NA	NA	"No"
"GSM973322"	"siRNA"	"GATA3"	"MCF7"	"siGATA-0-E2-r1"	"GPL6947"	"k1"	-1	-0.297980896750066	1.95109702505055	"Yes"
"GSM1406284"	"Control"	"NAN"	"LNCaP"	"Control1-Et"	"GPL6244"	"NAN"	1	NA	NA	"No"
"GSM1406285"	"Control"	"NAN"	"LNCaP"	"Control1-DHT"	"GPL6244"	"NAN"	1	NA	NA	"No"
"GSM1406286"	"siRNA"	"FOXA1"	"LNCaP"	"SiFOXA1-Et"	"GPL6244"	"NAN"	-1	-1.25902788701378	NA	"No"
"GSM1406287"	"siRNA"	"FOXA1"	"LNCaP"	"SiFOXA1-DHT"	"GPL6244"	"NAN"	-1	-1.16599626974675	NA	"No"
"GSM1406288"	"siRNA"	"FOXP1"	"LNCaP"	"siFOXP1-Et"	"GPL6244"	"NAN"	-1	-1.08245225493508	NA	"No"
"GSM1406289"	"siRNA"	"FOXP1"	"LNCaP"	"siFOXP1-DHT"	"GPL6244"	"NAN"	-1	-0.572932437448649	NA	"No"
"GSM1406292"	"Control"	"NAN"	"LNCaP"	"Contorl2-Et"	"GPL6244"	"NAN"	1	NA	NA	"No"
"GSM1406293"	"Control"	"NAN"	"LNCaP"	"Control2-DHT"	"GPL6244"	"NAN"	1	NA	NA	"No"
"GSM322415"	"Control"	"NAN"	"LECs"	"LEC-siRNA-control"	"GPL570"	"NAN"	1	NA	NA	"No"
"GSM322416"	"siRNA"	"PROX1"	"LECs"	"LEC-siRNA-Prox1"	"GPL570"	"NAN"	-1	-1	NA	"No"
"GSM322417"	"siRNA"	"NR2F2"	"LECs"	"LEC-siRNA-NR2F2"	"GPL570"	"NAN"	-1	-1	NA	"No"
"GSM322418"	"siRNA"	"PROX1"	"LECs"	"LEC-siRNA-Prox1/NR2F2"	"GPL570"	"NAN"	-1	NA	NA	"No"
"GSM2262824"	"Control"	"NAN"	"22Rv1"	"22RV1-shScr-Replicate-1"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM2262825"	"Control"	"NAN"	"22Rv1"	"22RV1-shScr-Replicate-2"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM2262826"	"Control"	"NAN"	"22Rv1"	"22RV1-shScr-Dox-Replicate-1"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM2262827"	"Control"	"NAN"	"22Rv1"	"22RV1-shScr-Dox-Replicate-2"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM2385301"	"Control"	"NAN"	"CCRF-CEM"	"CCRF-CEM-transduced-with-scramble"	"GPL16686"	"NAN"	1	NA	NA	"No"
"GSM2385304"	"Control"	"NAN"	"CCRF-CEM"	"CCRF-CEM-untransduced"	"GPL16686"	"NAN"	1	NA	NA	"No"
"GSM2385305"	"Control"	"NAN"	"HPB-ALL-T-ALL"	"HPB-ALL-transduced-with-scramble"	"GPL16686"	"NAN"	1	NA	NA	"No"
"GSM2385308"	"Control"	"NAN"	"HPB-ALL-T-ALL"	"HPB-ALL-untransduced"	"GPL16686"	"NAN"	1	NA	NA	"No"
"GSM925597"	"Control"	"NAN"	"OSE4"	"OSE4-shGFP-Ctr-at-72h"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM925599"	"Control"	"NAN"	"IOSE80pc"	"IOSE80pc-shGFP-Ctr-at-72h"	"GPL10558"	"NAN"	1	NA	NA	"No"
"GSM837222"	"Control"	"NAN"	"T-ALL-LOUCY"	"control-rep1"	"GPL10558"	"c1"	1	NA	NA	"No"
"GSM837223"	"Control"	"NAN"	"T-ALL-LOUCY"	"control-rep2"	"GPL10558"	"c2"	1	NA	NA	"No"
"GSM1311273"	"Control"	"NAN"	"MCF-10A"	"MCF-10A-shControl-replicate-1-[Set-2]"	"GPL6884"	"c1"	1	NA	NA	"No"
"GSM1311274"	"Control"	"NAN"	"MCF-10A"	"MCF-10A-shControl-replicate-2-[Set-2]"	"GPL6884"	"c2"	1	NA	NA	"No"
"GSM1311275"	"Control"	"NAN"	"MCF-10A"	"MCF-10A-shControl-replicate-3-[Set-2]"	"GPL6884"	"c3"	1	NA	NA	"No"
"GSM1311276"	"Control"	"NAN"	"MCF-10A"	"MCF-10A-shControl-replicate-4-[Set-2]"	"GPL6884"	"c4"	1	NA	NA	"No"
"GSM1311277"	"shRNA"	"PTEN"	"MCF-10A"	"MCF-10A-shPTEN-replicate-1-[Set-2]"	"GPL6884"	"k1"	-1	-0.540287861172913	1.98127903037363	"Yes"
"GSM1311278"	"shRNA"	"PTEN"	"MCF-10A"	"MCF-10A-shPTEN-replicate-2-[Set-2]"	"GPL6884"	"k2"	-1	-0.473640162390845	1.98127903037363	"Yes"
"GSM1311279"	"shRNA"	"PTEN"	"MCF-10A"	"MCF-10A-shPTEN-replicate-3-[Set-2]"	"GPL6884"	"k3"	-1	-0.449155248173474	1.98127903037363	"Yes"
"GSM1311280"	"shRNA"	"PTEN"	"MCF-10A"	"MCF-10A-shPTEN-replicate-4-[Set-2]"	"GPL6884"	"k4"	-1	-0.553698106059199	1.98127903037363	"Yes"
"GSM1311281"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shBRCA1-replicate-1-[Set-2]"	"GPL6884"	"k1"	-1	NA	NA	"No"
"GSM1311282"	"shRNA"	"BRCA1"	"MCF-10A"	"MCF-10A-shBRCA1-replicate-2-[Set-2]"	"GPL6884"	"k2"	-1	NA	NA	"No"
