	id	knockdown_method	target	cell	cell_type	platform	rep	sign	components
0	GSM973301	siRNA	GATA3	MCF7	siGATA-1-E2-r1	GPL6947	k1	-1	total_enrichment
1	GSM973301	siRNA	GATA3	MCF7	siGATA-1-E2-r1	GPL6947	k1	-1	local_enrichment
2	GSM973301	siRNA	GATA3	MCF7	siGATA-1-E2-r1	GPL6947	k1	-1	delta
3	GSM973301	siRNA	GATA3	MCF7	siGATA-1-E2-r1	GPL6947	k1	-1	quant_nes
4	GSM973302	siRNA	GATA3	MCF7	siGATA-2-Veh-r1	GPL6947	k1	-1	total_enrichment
5	GSM973302	siRNA	GATA3	MCF7	siGATA-2-Veh-r1	GPL6947	k1	-1	local_enrichment
6	GSM973302	siRNA	GATA3	MCF7	siGATA-2-Veh-r1	GPL6947	k1	-1	delta
7	GSM973302	siRNA	GATA3	MCF7	siGATA-2-Veh-r1	GPL6947	k1	-1	quant_nes
8	GSM973303	Control	GATA3	MCF7	siNT-E2-r5	GPL6947	c5	1	total_enrichment
9	GSM973303	Control	GATA3	MCF7	siNT-E2-r5	GPL6947	c5	1	local_enrichment
10	GSM973303	Control	GATA3	MCF7	siNT-E2-r5	GPL6947	c5	1	delta
11	GSM973303	Control	GATA3	MCF7	siNT-E2-r5	GPL6947	c5	1	quant_nes
12	GSM973304	Control	GATA3	MCF7	siNT-Veh-r3	GPL6947	c3	1	total_enrichment
13	GSM973304	Control	GATA3	MCF7	siNT-Veh-r3	GPL6947	c3	1	local_enrichment
14	GSM973304	Control	GATA3	MCF7	siNT-Veh-r3	GPL6947	c3	1	delta
15	GSM973304	Control	GATA3	MCF7	siNT-Veh-r3	GPL6947	c3	1	quant_nes
16	GSM973305	Control	GATA3	MCF7	siNT-E2-r2	GPL6947	c2	1	total_enrichment
17	GSM973305	Control	GATA3	MCF7	siNT-E2-r2	GPL6947	c2	1	local_enrichment
18	GSM973305	Control	GATA3	MCF7	siNT-E2-r2	GPL6947	c2	1	delta
19	GSM973305	Control	GATA3	MCF7	siNT-E2-r2	GPL6947	c2	1	quant_nes
20	GSM973306	siRNA	GATA3	MCF7	siGATA-0-Veh-r1	GPL6947	k1	-1	total_enrichment
21	GSM973306	siRNA	GATA3	MCF7	siGATA-0-Veh-r1	GPL6947	k1	-1	local_enrichment
22	GSM973306	siRNA	GATA3	MCF7	siGATA-0-Veh-r1	GPL6947	k1	-1	delta
23	GSM973306	siRNA	GATA3	MCF7	siGATA-0-Veh-r1	GPL6947	k1	-1	quant_nes
24	GSM973307	siRNA	GATA3	MCF7	siGATA-1-Veh-r2	GPL6947	k2	-1	total_enrichment
25	GSM973307	siRNA	GATA3	MCF7	siGATA-1-Veh-r2	GPL6947	k2	-1	local_enrichment
26	GSM973307	siRNA	GATA3	MCF7	siGATA-1-Veh-r2	GPL6947	k2	-1	delta
27	GSM973307	siRNA	GATA3	MCF7	siGATA-1-Veh-r2	GPL6947	k2	-1	quant_nes
28	GSM973308	Control	GATA3	MCF7	siNT-Veh-r5	GPL6947	c5	1	total_enrichment
29	GSM973308	Control	GATA3	MCF7	siNT-Veh-r5	GPL6947	c5	1	local_enrichment
30	GSM973308	Control	GATA3	MCF7	siNT-Veh-r5	GPL6947	c5	1	delta
31	GSM973308	Control	GATA3	MCF7	siNT-Veh-r5	GPL6947	c5	1	quant_nes
32	GSM973309	siRNA	GATA3	MCF7	siGATA-0-E2-r2	GPL6947	k2	-1	total_enrichment
33	GSM973309	siRNA	GATA3	MCF7	siGATA-0-E2-r2	GPL6947	k2	-1	local_enrichment
34	GSM973309	siRNA	GATA3	MCF7	siGATA-0-E2-r2	GPL6947	k2	-1	delta
35	GSM973309	siRNA	GATA3	MCF7	siGATA-0-E2-r2	GPL6947	k2	-1	quant_nes
36	GSM973310	Control	GATA3	MCF7	siNT-Veh-r1	GPL6947	c1	1	total_enrichment
37	GSM973310	Control	GATA3	MCF7	siNT-Veh-r1	GPL6947	c1	1	local_enrichment
38	GSM973310	Control	GATA3	MCF7	siNT-Veh-r1	GPL6947	c1	1	delta
39	GSM973310	Control	GATA3	MCF7	siNT-Veh-r1	GPL6947	c1	1	quant_nes
